date,status,clean_candidate,has_reference,reference_within_tolerance,candidate_ohlc_valid,source_tick_issue,rounded_to_tick,max_abs_ohlc_diff,source_open,candidate_open,reference_open,open_abs_diff,source_high,candidate_high,reference_high,high_abs_diff,source_low,candidate_low,reference_low,low_abs_diff,source_close,candidate_close,reference_close,close_abs_diff,candidate_volume
2021-07-29,clean,True,True,True,True,False,False,0.0,14984.75,14984.75,14984.75,0.0,15084.0,15084.0,15084.0,0.0,14905.0,14905.0,14905.0,0.0,15037.75,15037.75,15037.75,0.0,412590.0
2021-07-30,clean,True,True,True,True,False,False,0.0,14905.25,14905.25,14905.25,0.0,14980.0,14980.0,14980.0,0.0,14811.25,14811.25,14811.25,0.0,14955.75,14955.75,14955.75,0.0,505630.0
2021-07-31,no_reference,False,False,False,True,False,False,,14966.5,14966.5,,,14966.5,14966.5,,,14966.5,14966.5,,,14966.5,14966.5,,,0.0
2021-08-02,clean,True,True,True,True,False,False,0.0,14972.75,14972.75,14972.75,0.0,15056.25,15056.25,15056.25,0.0,14932.25,14932.25,14932.25,0.0,14952.75,14952.75,14952.75,0.0,446140.0
2021-08-03,clean,True,True,True,True,False,False,0.0,14962.25,14962.25,14962.25,0.0,15050.0,15050.0,15050.0,0.0,14849.0,14849.0,14849.0,0.0,15046.25,15046.25,15046.25,0.0,520380.0
2021-08-04,clean,True,True,True,True,False,False,0.0,15038.0,15038.0,15038.0,0.0,15108.0,15108.0,15108.0,0.0,14997.0,14997.0,14997.0,0.0,15073.5,15073.5,15073.5,0.0,445700.0
2021-08-05,clean,True,True,True,True,False,False,0.0,15081.75,15081.75,15081.75,0.0,15172.5,15172.5,15172.5,0.0,15069.25,15069.25,15069.25,0.0,15167.75,15167.75,15167.75,0.0,341550.0
2021-08-06,clean,True,True,True,True,False,False,0.0,15167.75,15167.75,15167.75,0.0,15169.75,15169.75,15169.75,0.0,15047.25,15047.25,15047.25,0.0,15095.5,15095.5,15095.5,0.0,425070.0
2021-08-09,clean,True,True,True,True,False,False,0.0,15090.25,15090.25,15090.25,0.0,15145.5,15145.5,15145.5,0.0,15003.25,15003.25,15003.25,0.0,15125.25,15125.25,15125.25,0.0,361390.0
2021-08-10,clean,True,True,True,True,False,False,0.0,15128.75,15128.75,15128.75,0.0,15157.25,15157.25,15157.25,0.0,14994.5,14994.5,14994.5,0.0,15044.5,15044.5,15044.5,0.0,475300.0
2021-08-11,clean,True,True,True,True,False,False,0.0,15045.0,15045.0,15045.0,0.0,15119.0,15119.0,15119.0,0.0,14963.0,14963.0,14963.0,0.0,15019.5,15019.5,15019.5,0.0,479700.0
2021-08-12,clean,True,True,True,True,False,False,0.0,15008.5,15008.5,15008.5,0.0,15090.5,15090.5,15090.5,0.0,14941.25,14941.25,14941.25,0.0,15078.5,15078.5,15078.5,0.0,384240.0
2021-08-13,clean,True,True,True,True,False,False,0.0,15079.75,15079.75,15079.75,0.0,15141.75,15141.75,15141.75,0.0,15055.25,15055.25,15055.25,0.0,15125.75,15125.75,15125.75,0.0,364520.0
2021-08-14,no_reference,False,False,False,True,False,False,,15122.0,15122.0,,,15122.0,15122.0,,,15122.0,15122.0,,,15122.0,15122.0,,,0.0
2021-08-16,clean,True,True,True,True,False,False,0.0,15119.25,15119.25,15119.25,0.0,15139.0,15139.0,15139.0,0.0,14917.25,14917.25,14917.25,0.0,15134.0,15134.0,15134.0,0.0,590790.0
2021-08-17,clean,True,True,True,True,False,False,0.0,15131.5,15131.5,15131.5,0.0,15133.75,15133.75,15133.75,0.0,14897.0,14897.0,14897.0,0.0,14997.5,14997.5,14997.5,0.0,687900.0
