session_date,symbol,volume,rows
2021-07-09,NQU1,418443.0,1380.0
2021-07-12,NQU1,357788.0,1380.0
2021-07-13,NQU1,502549.0,1379.0
2021-07-14,NQU1,495642.0,1380.0
2021-07-15,NQU1,621837.0,1379.0
2021-07-16,NQU1,532082.0,1380.0
2021-07-19,NQU1,708070.0,1380.0
2021-07-20,NQU1,521594.0,1380.0
2021-07-21,NQU1,397617.0,1380.0
2021-07-22,NQU1,417799.0,1380.0
2021-07-23,NQU1,440826.0,1380.0
2021-07-26,NQU1,387258.0,1380.0
2021-07-27,NQU1,664412.0,1378.0
2021-07-28,NQU1,573764.0,1380.0
2021-07-29,NQU1,410525.0,1380.0
2021-07-30,NQU1,499644.0,1380.0
2021-08-02,NQU1,442644.0,1380.0
2021-08-03,NQU1,516355.0,1380.0
2021-08-04,NQU1,439586.0,1380.0
2021-08-05,NQU1,336931.0,1380.0
2021-08-06,NQU1,413388.0,1380.0
2021-08-09,NQU1,356032.0,1380.0
2021-08-10,NQU1,468981.0,1380.0
2021-08-11,NQU1,474396.0,1380.0
2021-08-12,NQU1,382289.0,1380.0
2021-08-13,NQU1,361981.0,1379.0
2021-08-16,NQU1,585649.0,1380.0
2021-08-17,NQU1,680765.0,1380.0
2021-08-18,NQU1,562340.0,1380.0
2021-08-19,NQU1,721952.0,1380.0
2021-08-20,NQU1,496280.0,1380.0
2021-08-23,NQU1,405392.0,1380.0
2021-08-24,NQU1,362586.0,1380.0
2021-08-25,NQU1,402843.0,1380.0
2021-08-26,NQU1,561658.0,1380.0
2021-08-27,NQU1,435647.0,1380.0
2021-08-30,NQU1,412522.0,1380.0
2021-08-31,NQU1,514528.0,1380.0
2021-09-01,NQU1,458595.0,1380.0
2021-09-02,NQU1,458509.0,1380.0
2021-09-03,NQU1,456436.0,1380.0
2021-09-06,NQU1,56429.0,1136.0
2021-09-07,NQU1,477808.0,1379.0
2021-09-08,NQU1,550063.0,1380.0
2021-09-09,NQU1,511866.0,1380.0
2021-09-10,NQU1,327736.0,1379.0
2021-09-13,NQZ1,473059.0,1380.0
2021-09-14,NQZ1,467456.0,1379.0
2021-09-15,NQZ1,470956.0,1380.0
2021-09-16,NQZ1,451069.0,1380.0
2021-09-17,NQZ1,626460.0,1380.0
2021-09-20,NQZ1,834097.0,1380.0
2021-09-21,NQZ1,656764.0,1380.0
2021-09-22,NQZ1,595615.0,1380.0
2021-09-23,NQZ1,506874.0,1380.0
2021-09-24,NQZ1,462323.0,1380.0
2021-09-27,NQZ1,534952.0,1380.0
2021-09-28,NQZ1,822661.0,1380.0
